0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "GET /Vortex/assets/vendors/flot.curvedlines/curvedLines.js HTTP/1.1" 200 16821
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "GET /Vortex/assets/vendors/bootstrap-daterangepicker/daterangepicker.js HTTP/1.1" 200 71340
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "GET /Vortex/assets/vendors/jqvmap/dist/jquery.vmap.js HTTP/1.1" 200 35349
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "GET /Vortex/assets/build/js/custom.min.js HTTP/1.1" 200 72445
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "GET /Vortex/assets/vendors/jqvmap/examples/js/jquery.vmap.sampledata.js HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "GET /Vortex/assets/vendors/moment/min/moment.min.js HTTP/1.1" 200 46651
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:42 +0800] "GET /Vortex/view/controlpanel/purchaseTables.jsp HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/view/controlpanel/gameTables.jsp HTTP/1.1" 200 12533
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net/js/jquery.dataTables.min.js HTTP/1.1" 200 82804
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-bs/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4217
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons/js/buttons.print.min.js HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons/js/buttons.flash.min.js HTTP/1.1" 200 21985
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons/js/buttons.html5.min.js HTTP/1.1" 200 20489
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 15696
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-keytable/js/dataTables.keyTable.min.js HTTP/1.1" 200 7112
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/jszip/dist/jszip.min.js HTTP/1.1" 200 80038
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-responsive-bs/js/responsive.bootstrap.js HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 11082
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-fixedheader/js/dataTables.fixedHeader.min.js HTTP/1.1" 200 6669
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/pdfmake/build/vfs_fonts.js HTTP/1.1" 200 567638
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/pdfmake/build/pdfmake.min.js HTTP/1.1" 200 426291
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/vendors/datatables.net-scroller/js/dataTables.scroller.min.js HTTP/1.1" 200 11400
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "GET /Vortex/assets/build/js/gameTables.js HTTP/1.1" 200 3906
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:45 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:57 +0800] "GET /Vortex/view/controlpanel/userCharts.jsp HTTP/1.1" 200 13860
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:57 +0800] "GET /Vortex/assets/build/js/customchart1.js HTTP/1.1" 200 116464
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:57 +0800] "GET /Vortex/assets/build/js/chart1Num.js HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:57 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:57 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:57 +0800] "GET /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:57 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:57 +0800] "GET /Vortex/UserTable HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:57 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 261707
